Образцы ->,MSI-1,MSI-1_Output,MSI-2,MSI-2_Output,MSI-3,MSI-3_Output,MSI-4,MSI-4_Output,MSI-5,MSI-5_Output,MSI-6,MSI-6_Output,MSI-7,MSI-7_Output,MSI-8,MSI-8_Output,MSI-9,MSI-9_Output,MSI-10,MSI-10_Output,MSI-11,MSI-11_Output,MSI-12,MSI-12_Output,MSS-1,MSS-2,MSS-3,MSS-4,MSS-5,MSS-6,MSS-7,MSS-8,MSS-9,MSS-10,MSS-11,MSS-12,MSS-13,MSS-14,MSS-15,MSS-16
,STR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9(A),0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10(A),0, Shapiro-Wilk Test Statistic (test data): 0.7664135694503784.   P-value: 0.0002842066460289061.  Reject null hypothesis: Data is not normally distributed for the test sample.  Shapiro-Wilk Test Statistic (control data): 0.5035164952278137.   P-value: 3.420799146169884e-07.  Reject null hypothesis: Data is not normally distributed for the control. ,0.0, Shapiro-Wilk Test Statistic (test data): 0.6373169422149658.   P-value: 7.356143214565236e-06.  Reject null hypothesis: Data is not normally distributed for the test sample.  Shapiro-Wilk Test Statistic (control data): 0.5035164952278137.   P-value: 3.420799146169884e-07.  Reject null hypothesis: Data is not normally distributed for the control. ,0.0, Shapiro-Wilk Test Statistic (test data): 0.6469724178314209.   P-value: 9.404763659404125e-06.  Reject null hypothesis: Data is not normally distributed for the test sample.  Shapiro-Wilk Test Statistic (control data): 0.5035164952278137.   P-value: 3.420799146169884e-07.  Reject null hypothesis: Data is not normally distributed for the control. ,0.0, Shapiro-Wilk Test Statistic (test data): 0.48125308752059937.   P-value: 2.16086647242264e-07.  Reject null hypothesis: Data is not normally distributed for the test sample.  Shapiro-Wilk Test Statistic (control data): 0.5035164952278137.   P-value: 3.420799146169884e-07.  Reject null hypothesis: Data is not normally distributed for the control. ,0.0, Shapiro-Wilk Test Statistic (test data): 0.5401793718338013.   P-value: 7.501191134906549e-07.  Reject null hypothesis: Data is not normally distributed for the test sample.  Shapiro-Wilk Test Statistic (control data): 0.5035164952278137.   P-value: 3.420799146169884e-07.  Reject null hypothesis: Data is not normally distributed for the control. ,0.0, Shapiro-Wilk Test Statistic (test data): 0.6566482186317444.   P-value: 1.2076850907760672e-05.  Reject null hypothesis: Data is not normally distributed for the test sample.  Shapiro-Wilk Test Statistic (control data): 0.5035164952278137.   P-value: 3.420799146169884e-07.  Reject null hypothesis: Data is not normally distributed for the control. ,0.0, Shapiro-Wilk Test Statistic (test data): 0.6522523164749146.   P-value: 1.077456818165956e-05.  Reject null hypothesis: Data is not normally distributed for the test sample.  Shapiro-Wilk Test Statistic (control data): 0.5035164952278137.   P-value: 3.420799146169884e-07.  Reject null hypothesis: Data is not normally distributed for the control. ,0.0, Shapiro-Wilk Test Statistic (test data): 0.753914475440979.   P-value: 0.00019166067067999393.  Reject null hypothesis: Data is not normally distributed for the test sample.  Shapiro-Wilk Test Statistic (control data): 0.5035164952278137.   P-value: 3.420799146169884e-07.  Reject null hypothesis: Data is not normally distributed for the control. ,0.0, Shapiro-Wilk Test Statistic (test data): 0.5445626378059387.   P-value: 8.260436175078212e-07.  Reject null hypothesis: Data is not normally distributed for the test sample.  Shapiro-Wilk Test Statistic (control data): 0.5035164952278137.   P-value: 3.420799146169884e-07.  Reject null hypothesis: Data is not normally distributed for the control. ,0.0, Shapiro-Wilk Test Statistic (test data): 0.7038666009902954.   P-value: 4.347173307905905e-05.  Reject null hypothesis: Data is not normally distributed for the test sample.  Shapiro-Wilk Test Statistic (control data): 0.5035164952278137.   P-value: 3.420799146169884e-07.  Reject null hypothesis: Data is not normally distributed for the control. ,0.0, Shapiro-Wilk Test Statistic (test data): 0.5372578501701355.   P-value: 7.036502438495518e-07.  Reject null hypothesis: Data is not normally distributed for the test sample.  Shapiro-Wilk Test Statistic (control data): 0.5035164952278137.   P-value: 3.420799146169884e-07.  Reject null hypothesis: Data is not normally distributed for the control. ,8.58e-05, Shapiro-Wilk Test Statistic (test data): 0.5649422407150269.   P-value: 1.3031008165853564e-06.  Reject null hypothesis: Data is not normally distributed for the test sample.  Shapiro-Wilk Test Statistic (control data): 0.5035164952278137.   P-value: 3.420799146169884e-07.  Reject null hypothesis: Data is not normally distributed for the control. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11(A),0.0004086451144, Wilcoxon rank-sum test: 158.0.  P-value:0.248795530336261.  Cannot reject null hypothesis: The distributions are similar. ,0.0, Wilcoxon rank-sum test: 177.5.  P-value:0.5385066918488601.  Cannot reject null hypothesis: The distributions are similar. ,0.0, Wilcoxon rank-sum test: 182.0.  P-value:0.6222911277906491.  Cannot reject null hypothesis: The distributions are similar. ,0.0, Wilcoxon rank-sum test: 193.0.  P-value:0.8548159288771937.  Cannot reject null hypothesis: The distributions are similar. ,0.0, Wilcoxon rank-sum test: 198.5.  P-value:0.9773668599536914.  Cannot reject null hypothesis: The distributions are similar. ,0.0001510916371, Wilcoxon rank-sum test: 174.5.  P-value:0.4846074881288748.  Cannot reject null hypothesis: The distributions are similar. ,0.0, Wilcoxon rank-sum test: 178.5.  P-value:0.5571463115093023.  Cannot reject null hypothesis: The distributions are similar. ,0.0001329256945, Wilcoxon rank-sum test: 156.0.  P-value:0.22671678127953876.  Cannot reject null hypothesis: The distributions are similar. ,0.0, Wilcoxon rank-sum test: 177.0.  P-value:0.5264838739642248.  Cannot reject null hypothesis: The distributions are similar. ,0.0, Wilcoxon rank-sum test: 169.5.  P-value:0.40164131787333923.  Cannot reject null hypothesis: The distributions are similar. ,0.0, Wilcoxon rank-sum test: 196.5.  P-value:0.9321733687149214.  Cannot reject null hypothesis: The distributions are similar. ,8.58e-05, Wilcoxon rank-sum test: 162.5.  P-value:0.3062499119843225.  Cannot reject null hypothesis: The distributions are similar. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12(A),0.00367780603, Kolmogorov-Smirnov Statistic: 0.25.   P-value: 0.571336004933722.  Cannot reject null hypothesis: The distributions are similar.,0.0003121516165, Kolmogorov-Smirnov Statistic: 0.15.   P-value: 0.9831368772656193.  Cannot reject null hypothesis: The distributions are similar.,0.0004392065003, Kolmogorov-Smirnov Statistic: 0.1.   P-value: 0.9999923931635496.  Cannot reject null hypothesis: The distributions are similar.,0.0, Kolmogorov-Smirnov Statistic: 0.05.   P-value: 0.9999999999999998.  Cannot reject null hypothesis: The distributions are similar.,0.0, Kolmogorov-Smirnov Statistic: 0.05.   P-value: 0.9999999999999998.  Cannot reject null hypothesis: The distributions are similar.,0.0003777290927, Kolmogorov-Smirnov Statistic: 0.15.   P-value: 0.9831368772656193.  Cannot reject null hypothesis: The distributions are similar.,0.0002532714225, Kolmogorov-Smirnov Statistic: 0.15.   P-value: 0.9831368772656193.  Cannot reject null hypothesis: The distributions are similar.,0.003323142363, Kolmogorov-Smirnov Statistic: 0.25.   P-value: 0.571336004933722.  Cannot reject null hypothesis: The distributions are similar.,0.0004636964334, Kolmogorov-Smirnov Statistic: 0.15.   P-value: 0.9831368772656193.  Cannot reject null hypothesis: The distributions are similar.,0.0001968633112, Kolmogorov-Smirnov Statistic: 0.2.   P-value: 0.8319696107963263.  Cannot reject null hypothesis: The distributions are similar.,0.0, Kolmogorov-Smirnov Statistic: 0.05.   P-value: 0.9999999999999998.  Cannot reject null hypothesis: The distributions are similar.,0.001801879102, Kolmogorov-Smirnov Statistic: 0.2.   P-value: 0.8319696107963263.  Cannot reject null hypothesis: The distributions are similar.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13(A),0.03191972394,One Class SVM ML. The new data point is an outlier (anomaly),0.001917502787,One Class SVM ML. The new data point is an outlier (anomaly),0.002488836835,One Class SVM ML. The new data point is an outlier (anomaly),9.46e-05,One Class SVM ML. The new data point is an outlier (anomaly),0.000238133037,One Class SVM ML. The new data point is an outlier (anomaly),0.002681876558,One Class SVM ML. The new data point is an outlier (anomaly),0.004178978472,One Class SVM ML. The new data point is an outlier (anomaly),0.02651867606,One Class SVM ML. The new data point is an outlier (anomaly),0.00351636462,One Class SVM ML. The new data point is an outlier (anomaly),0.002788896909,One Class SVM ML. The new data point is an outlier (anomaly),9.41e-05,One Class SVM ML. The new data point is an outlier (anomaly),0.01656012699,One Class SVM ML. The new data point is an outlier (anomaly),0.0,0.0,0.001313197636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006557377049,0.0,0.0,0.0,0.0,0.0
14(A),0.1352615329,,0.01088071349,,0.01376180367,,0.0008510235923,,0.002301952691,,0.01767772154,,0.02541156606,,0.1014223049,,0.02094362224,,0.01965352057,,0.0002822466836,,0.0743918658,,0.0,0.001152073733,0.0,0.00320855615,0.002147074611,0.001769911504,0.0,0.003636363636,0.003489531406,0.002375296912,0.0,0.0,0.0,0.00162999185,0.002336448598,0.0
15(A),0.0828641482,,0.04798216276,,0.07030964058,,0.003545931634,,0.01123194158,,0.09382790663,,0.08357956944,,0.1002592051,,0.05533444105,,0.1027298379,,0.001693480102,,0.01922004376,,0.003430531732,0.003456221198,0.001969796454,0.01069518717,0.003220611916,0.006637168142,0.002610966057,0.007272727273,0.001994017946,0.002375296912,0.002295081967,0.00421617478,0.002424242424,0.002444987775,0.001168224299,0.006446414182
16(A),0.06324918271,,0.09993311037,,0.1722421492,,0.01489291286,,0.04651531989,,0.2224068898,,0.1163782187,,0.07247773495,,0.03763669384,,0.2232758055,,0.007197290432,,0.0374533442,,0.02572898799,0.01670506912,0.01116217991,0.009625668449,0.009661835749,0.01371681416,0.01566579634,0.003636363636,0.01744765703,0.01781472684,0.01540983607,0.01303181296,0.01575757576,0.0065199674,0.01869158879,0.0265914585
17(A),0.09553214675,,0.1512597547,,0.2007905717,,0.0634958158,,0.149349103,,0.1599682708,,0.111861545,,0.09919579955,,0.06182619112,,0.161001378,,0.0395145357,,0.07790982024,,0.06518010292,0.05760368664,0.06106369009,0.05026737968,0.0590445518,0.05663716814,0.03133159269,0.05636363636,0.05284147557,0.06294536817,0.06983606557,0.04561134534,0.04606060606,0.04156479218,0.09112149533,0.1329572925
